"","Pathway_Total","Hits","P_val","P_adj","NES","EC.Hits"
"Hexose phosphorylation",7,7,0.01458,0.1567,1.585,EC00014;EC000967;EC000897;EC000896;EC000324;EC000325;EC000326;EC000327;EC000328;EC000850;EC000699;EC000120;EC000121;EC00018;EC000192;EC000193;EC000957;EC000958;EC000911;EC000854;EC000855;EC000312;EC000313;EC000314;EC000440;EC000642;EC000921;EC000970;EC000898;EC000899;EC000969
"Hexose phosphorylation",7,7,0.01458,0.1567,1.585,EC00014;EC000391;EC000392;EC000393;EC000870;EC0001001;EC000986;EC000995;EC000825;EC000275;EC000276;EC000277;EC0001013;EC0001014;EC0001009;EC000999;EC000681;EC000682;EC000683;EC000679;EC000680;EC000675;EC000676;EC000677;EC000678;EC000126;EC000127;EC000128;EC000129;EC000384;EC000385;EC000376;EC000377;EC000378;EC000379;EC000895;EC000822;EC000494;EC000495;EC0001005
"Hexose phosphorylation",7,7,0.01458,0.1567,1.585,EC00021;EC00047;EC00015;EC00016;EC00017;EC00028
"Hexose phosphorylation",7,7,0.01458,0.1567,1.585,EC00047;EC000201;EC000111;EC000112;EC000113
"Hexose phosphorylation",7,7,0.01458,0.1567,1.585,EC00014;EC000356;EC00088;EC00094
"Hexose phosphorylation",7,7,0.01458,0.1567,1.585,EC000744
"Beta-Alanine metabolism",14,14,0.01478,0.1567,1.671,EC000414;EC00015;EC00016;EC00017;EC000347;EC00032;EC00014;EC00018;EC00029;EC000311;EC000196;EC000158;EC00022;EC000201;EC00059;EC00060;EC00061;EC000101;EC000307;EC000159;EC00037;EC00038;EC000145;EC00075;EC000194;EC000230;EC000269;EC00047;EC00028;EC000202
"Beta-Alanine metabolism",14,14,0.01478,0.1567,1.671,EC00018;EC00019;EC00014;EC00083;EC000836;EC000195;EC00059;EC00060;EC00061;EC000632;EC000362;EC000834;EC000418;EC000419;EC000420;EC000421;EC000843;EC000840;EC000508;EC000235;EC00039;EC00040;EC000459;EC000318;EC000158;EC00028;EC000211;EC000640;EC000183;EC000184;EC00031;EC00032;EC000460;EC000539;EC000491;EC000266;EC000826;EC000827;EC000334;EC000335;EC000346;EC000497;EC000498;EC00072;EC000154;EC000484;EC000485;EC000486;EC000641;EC000349;EC000350;EC000479;EC00021;EC000841;EC00076;EC00025;EC00026
"Beta-Alanine metabolism",14,14,0.01478,0.1567,1.671,EC00018;EC00032;EC000374;EC00028
"Beta-Alanine metabolism",14,14,0.01478,0.1567,1.671,EC000806;EC000805;EC000804;EC000807;EC000808;EC000803;EC000707;EC000800;EC000802;EC000801;EC000411;EC000532;EC000533;EC000534;EC000735;EC000695;EC000696
